V1	V2	V3	V4	V5	V6	V7
ENSG00000075239	ENSG00000103150	ENSG00000134240	ENSG00000163541	ENSG00000198130		
ENSG00000062485	ENSG00000100116	ENSG00000131069	ENSG00000134240	ENSG00000178537		
ENSG00000099810	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000178445		
ENSG00000099810	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000145020		
ENSG00000107902	ENSG00000138777	ENSG00000143363	ENSG00000166224	ENSG00000180817		
ENSG00000099810	ENSG00000116761	ENSG00000148672	ENSG00000182890	ENSG00000185813		
ENSG00000075239	ENSG00000103150	ENSG00000116133	ENSG00000134240	ENSG00000163541		
ENSG00000148672	ENSG00000149089	ENSG00000182890	ENSG00000185813	ENSG00000261052		
ENSG00000091140	ENSG00000100714	ENSG00000135069	ENSG00000173638	ENSG00000185813		
ENSG00000148672	ENSG00000182890	ENSG00000183044	ENSG00000185813	ENSG00000261052		
ENSG00000083720	ENSG00000103150	ENSG00000163541	ENSG00000198130	ENSG00000198754		
ENSG00000037757	ENSG00000092621	ENSG00000134882	ENSG00000140905	ENSG00000185813		
ENSG00000111237	ENSG00000123505	ENSG00000140905	ENSG00000146733	ENSG00000185813		
ENSG00000091140	ENSG00000102172	ENSG00000116649	ENSG00000135069	ENSG00000185813		
ENSG00000105220	ENSG00000111669	ENSG00000138030	ENSG00000140263	ENSG00000177156		
ENSG00000092621	ENSG00000119711	ENSG00000134882	ENSG00000140905	ENSG00000185813		
ENSG00000111237	ENSG00000140905	ENSG00000146733	ENSG00000183044	ENSG00000185813		
ENSG00000103150	ENSG00000117305	ENSG00000119711	ENSG00000146151	ENSG00000163541		
ENSG00000103150	ENSG00000112972	ENSG00000119711	ENSG00000134240	ENSG00000163541		
ENSG00000091483	ENSG00000123505	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000091483	ENSG00000099810	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000062485	ENSG00000099810	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000016391	ENSG00000091483	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000073578	ENSG00000099810	ENSG00000135069	ENSG00000138030	ENSG00000185813		
ENSG00000075239	ENSG00000103150	ENSG00000119711	ENSG00000134240	ENSG00000163541		
ENSG00000123505	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000178445		
ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000149089	ENSG00000178445		
ENSG00000099810	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000140905		
ENSG00000091140	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000149089		
ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000145020	ENSG00000183044		
ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000178445	ENSG00000183044		
ENSG00000016391	ENSG00000113492	ENSG00000135069	ENSG00000172482	ENSG00000185813		
ENSG00000113492	ENSG00000135069	ENSG00000172482	ENSG00000183044	ENSG00000185813		
ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000140905	ENSG00000183044		
ENSG00000119711	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000140905		
ENSG00000092621	ENSG00000119711	ENSG00000134882	ENSG00000178445	ENSG00000185813		
ENSG00000119711	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000178445		
ENSG00000092621	ENSG00000134882	ENSG00000178445	ENSG00000183044	ENSG00000185813		
ENSG00000091140	ENSG00000092621	ENSG00000134882	ENSG00000183044	ENSG00000185813		
ENSG00000037757	ENSG00000148672	ENSG00000182890	ENSG00000185813	ENSG00000261052		
ENSG00000037757	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000178445		
ENSG00000083720	ENSG00000103150	ENSG00000119711	ENSG00000163541	ENSG00000198754		
ENSG00000083720	ENSG00000103150	ENSG00000116133	ENSG00000163541	ENSG00000198754		
ENSG00000037757	ENSG00000116761	ENSG00000148672	ENSG00000182890	ENSG00000185813		
ENSG00000116761	ENSG00000148672	ENSG00000182890	ENSG00000183044	ENSG00000185813		
ENSG00000037757	ENSG00000134255	ENSG00000135069	ENSG00000138018	ENSG00000145020		
ENSG00000116761	ENSG00000123505	ENSG00000148672	ENSG00000182890	ENSG00000185813		
ENSG00000135069	ENSG00000135929	ENSG00000144659	ENSG00000172482	ENSG00000185813		
ENSG00000135069	ENSG00000144659	ENSG00000164904	ENSG00000172482	ENSG00000185813		
ENSG00000016391	ENSG00000135069	ENSG00000144659	ENSG00000172482	ENSG00000185813		
ENSG00000037757	ENSG00000111237	ENSG00000145020	ENSG00000146733	ENSG00000185813		
ENSG00000092621	ENSG00000134882	ENSG00000140905	ENSG00000183044	ENSG00000185813		
ENSG00000091140	ENSG00000119711	ENSG00000134255	ENSG00000135069	ENSG00000138018		
ENSG00000092621	ENSG00000123505	ENSG00000134882	ENSG00000140905	ENSG00000185813		
ENSG00000111237	ENSG00000119711	ENSG00000146733	ENSG00000178445	ENSG00000185813		
ENSG00000092621	ENSG00000134882	ENSG00000145020	ENSG00000183044	ENSG00000185813		
ENSG00000092621	ENSG00000134882	ENSG00000140905	ENSG00000149089	ENSG00000185813		
ENSG00000092621	ENSG00000099810	ENSG00000134882	ENSG00000140905	ENSG00000185813		
ENSG00000092621	ENSG00000134882	ENSG00000145020	ENSG00000149089	ENSG00000185813		
ENSG00000037757	ENSG00000111237	ENSG00000140905	ENSG00000146733	ENSG00000185813		
ENSG00000099810	ENSG00000111237	ENSG00000146733	ENSG00000178445	ENSG00000185813		
