V1	V2	V3	V4	V5	V6
ENSG00000105679	ENSG00000111640	ENSG00000198899	ENSG00000204370		
ENSG00000110955	ENSG00000111669	ENSG00000117118	ENSG00000153574		
ENSG00000073578	ENSG00000110955	ENSG00000111669	ENSG00000142657		
ENSG00000073578	ENSG00000110955	ENSG00000111669	ENSG00000153574		
ENSG00000111669	ENSG00000124172	ENSG00000177156	ENSG00000204370		
ENSG00000111669	ENSG00000135390	ENSG00000177156	ENSG00000204370		
ENSG00000111669	ENSG00000154723	ENSG00000177156	ENSG00000204370		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000135390		
ENSG00000105679	ENSG00000111640	ENSG00000154723	ENSG00000204370		
ENSG00000105679	ENSG00000111640	ENSG00000152234	ENSG00000204370		
ENSG00000111669	ENSG00000153574	ENSG00000154518	ENSG00000204370		
ENSG00000111669	ENSG00000143252	ENSG00000153574	ENSG00000156411		
ENSG00000111669	ENSG00000116459	ENSG00000142657	ENSG00000163541		
ENSG00000111669	ENSG00000116459	ENSG00000153574	ENSG00000204370		
ENSG00000111669	ENSG00000116459	ENSG00000153574	ENSG00000163541		
ENSG00000111669	ENSG00000153574	ENSG00000154723	ENSG00000163541		
ENSG00000073578	ENSG00000111669	ENSG00000153574	ENSG00000154723		
ENSG00000073578	ENSG00000111669	ENSG00000153574	ENSG00000165629		
ENSG00000099624	ENSG00000111669	ENSG00000142657	ENSG00000204370		
ENSG00000073578	ENSG00000111669	ENSG00000153574	ENSG00000241837		
ENSG00000111669	ENSG00000142657	ENSG00000169020	ENSG00000204370		
ENSG00000110955	ENSG00000111669	ENSG00000142657	ENSG00000204370		
ENSG00000111669	ENSG00000142657	ENSG00000204370	ENSG00000241837		
ENSG00000111669	ENSG00000142657	ENSG00000198899	ENSG00000204370		
ENSG00000111669	ENSG00000153574	ENSG00000169020	ENSG00000204370		
ENSG00000111669	ENSG00000169020	ENSG00000177156	ENSG00000204370		
ENSG00000091483	ENSG00000111669	ENSG00000153574	ENSG00000169020		
ENSG00000111669	ENSG00000153574	ENSG00000167863	ENSG00000204370		
ENSG00000091483	ENSG00000111669	ENSG00000169020	ENSG00000177156		
ENSG00000091483	ENSG00000111669	ENSG00000177156	ENSG00000198899		
ENSG00000091483	ENSG00000111669	ENSG00000177156	ENSG00000241468		
ENSG00000111669	ENSG00000153574	ENSG00000165629	ENSG00000204370		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000167283		
ENSG00000111669	ENSG00000142657	ENSG00000163541	ENSG00000165629		
ENSG00000099624	ENSG00000111669	ENSG00000142657	ENSG00000163541		
ENSG00000111669	ENSG00000152234	ENSG00000177156	ENSG00000204370		
ENSG00000111669	ENSG00000117118	ENSG00000142657	ENSG00000156411		
ENSG00000073578	ENSG00000111669	ENSG00000124172	ENSG00000142657		
ENSG00000073578	ENSG00000111669	ENSG00000124172	ENSG00000153574		
ENSG00000073578	ENSG00000111669	ENSG00000124172	ENSG00000177156		
ENSG00000073578	ENSG00000111669	ENSG00000153574	ENSG00000154518		
ENSG00000073578	ENSG00000111669	ENSG00000142657	ENSG00000241837		
ENSG00000073578	ENSG00000111669	ENSG00000153574	ENSG00000173915		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000154518		
ENSG00000073578	ENSG00000111669	ENSG00000153574	ENSG00000167863		
ENSG00000073578	ENSG00000111669	ENSG00000153574	ENSG00000167283		
ENSG00000073578	ENSG00000111669	ENSG00000153574	ENSG00000156411		
ENSG00000105679	ENSG00000111640	ENSG00000143252	ENSG00000167863		
ENSG00000111669	ENSG00000143252	ENSG00000153574	ENSG00000167863		
ENSG00000111669	ENSG00000143252	ENSG00000167863	ENSG00000177156		
ENSG00000091483	ENSG00000111669	ENSG00000167863	ENSG00000177156		
ENSG00000091483	ENSG00000111669	ENSG00000153574	ENSG00000167863		
ENSG00000091483	ENSG00000111669	ENSG00000142657	ENSG00000167863		
ENSG00000091483	ENSG00000111669	ENSG00000153574	ENSG00000241468		
ENSG00000111669	ENSG00000117118	ENSG00000153574	ENSG00000167863		
ENSG00000091483	ENSG00000111669	ENSG00000153574	ENSG00000154723		
ENSG00000091483	ENSG00000111669	ENSG00000153574	ENSG00000167283		
ENSG00000111669	ENSG00000117118	ENSG00000153574	ENSG00000198899		
ENSG00000111669	ENSG00000143252	ENSG00000153574	ENSG00000154518		
ENSG00000111669	ENSG00000143252	ENSG00000153574	ENSG00000241468		
ENSG00000073578	ENSG00000111669	ENSG00000153574	ENSG00000241468		
ENSG00000111669	ENSG00000143252	ENSG00000159199	ENSG00000177156		
ENSG00000091483	ENSG00000111669	ENSG00000142657	ENSG00000228253		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000228253		
ENSG00000111669	ENSG00000143252	ENSG00000153574	ENSG00000228253		
ENSG00000111669	ENSG00000143252	ENSG00000177156	ENSG00000228253		
ENSG00000091483	ENSG00000111669	ENSG00000177156	ENSG00000228253		
ENSG00000111669	ENSG00000177156	ENSG00000204370	ENSG00000228253		
ENSG00000091483	ENSG00000111669	ENSG00000153574	ENSG00000228253		
ENSG00000091483	ENSG00000111669	ENSG00000124172	ENSG00000153574		
ENSG00000073578	ENSG00000111669	ENSG00000142657	ENSG00000156411		
ENSG00000111669	ENSG00000177156	ENSG00000204370	ENSG00000241468		
ENSG00000073578	ENSG00000111669	ENSG00000177156	ENSG00000228253		
ENSG00000111669	ENSG00000153574	ENSG00000154723	ENSG00000204370		
ENSG00000091483	ENSG00000099624	ENSG00000111669	ENSG00000142657		
ENSG00000073578	ENSG00000105679	ENSG00000111640	ENSG00000228253		
ENSG00000111669	ENSG00000142657	ENSG00000204370	ENSG00000228253		
ENSG00000073578	ENSG00000111669	ENSG00000142657	ENSG00000228253		
ENSG00000111669	ENSG00000142657	ENSG00000152234	ENSG00000204370		
ENSG00000111669	ENSG00000152234	ENSG00000153574	ENSG00000204370		
ENSG00000111669	ENSG00000153574	ENSG00000156411	ENSG00000204370		
ENSG00000111669	ENSG00000153574	ENSG00000198899	ENSG00000204370		
ENSG00000111669	ENSG00000153574	ENSG00000204370	ENSG00000228253		
ENSG00000073578	ENSG00000105679	ENSG00000111640	ENSG00000198899		
ENSG00000073578	ENSG00000111669	ENSG00000177156	ENSG00000198899		
ENSG00000073578	ENSG00000099624	ENSG00000111669	ENSG00000177156		
ENSG00000073578	ENSG00000105679	ENSG00000111640	ENSG00000135390		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000159199		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000165629		
ENSG00000111669	ENSG00000117118	ENSG00000153574	ENSG00000156411		
ENSG00000111669	ENSG00000117118	ENSG00000156411	ENSG00000177156		
ENSG00000111669	ENSG00000117118	ENSG00000165629	ENSG00000177156		
ENSG00000111669	ENSG00000117118	ENSG00000153574	ENSG00000165629		
ENSG00000091483	ENSG00000111669	ENSG00000153574	ENSG00000156411		
ENSG00000091483	ENSG00000111669	ENSG00000156411	ENSG00000177156		
ENSG00000111669	ENSG00000177156	ENSG00000204370	ENSG00000241837		
ENSG00000111669	ENSG00000154518	ENSG00000177156	ENSG00000204370		
ENSG00000111669	ENSG00000117118	ENSG00000142657	ENSG00000154518		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000154518		
ENSG00000111669	ENSG00000143252	ENSG00000153574	ENSG00000154723		
ENSG00000111669	ENSG00000135390	ENSG00000142657	ENSG00000143252		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000198899		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000241468		
ENSG00000111669	ENSG00000142657	ENSG00000204370	ENSG00000241468		
ENSG00000111669	ENSG00000135390	ENSG00000142657	ENSG00000204370		
ENSG00000111669	ENSG00000135390	ENSG00000143252	ENSG00000153574		
ENSG00000110955	ENSG00000111669	ENSG00000142657	ENSG00000143252		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000169020		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000154723		
ENSG00000091483	ENSG00000111669	ENSG00000142657	ENSG00000173915		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000152234		
ENSG00000111669	ENSG00000124172	ENSG00000142657	ENSG00000143252		
ENSG00000099624	ENSG00000111669	ENSG00000142657	ENSG00000143252		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000167283		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000165629		
ENSG00000111669	ENSG00000116459	ENSG00000142657	ENSG00000143252		
ENSG00000105679	ENSG00000111640	ENSG00000117118	ENSG00000198899		
ENSG00000111669	ENSG00000117118	ENSG00000177156	ENSG00000198899		
ENSG00000111669	ENSG00000117118	ENSG00000142657	ENSG00000198899		
ENSG00000111669	ENSG00000117118	ENSG00000173915	ENSG00000177156		
ENSG00000099624	ENSG00000111669	ENSG00000117118	ENSG00000177156		
ENSG00000111669	ENSG00000117118	ENSG00000154518	ENSG00000177156		
ENSG00000111669	ENSG00000117118	ENSG00000177156	ENSG00000241837		
ENSG00000111669	ENSG00000117118	ENSG00000177156	ENSG00000228253		
ENSG00000073578	ENSG00000111669	ENSG00000173915	ENSG00000177156		
ENSG00000111669	ENSG00000142657	ENSG00000173915	ENSG00000204370		
ENSG00000111669	ENSG00000117118	ENSG00000167283	ENSG00000177156		
ENSG00000073578	ENSG00000111669	ENSG00000142657	ENSG00000173915		
ENSG00000073578	ENSG00000111669	ENSG00000152234	ENSG00000177156		
ENSG00000073578	ENSG00000111669	ENSG00000167863	ENSG00000177156		
ENSG00000099624	ENSG00000111669	ENSG00000163541	ENSG00000177156		
ENSG00000091483	ENSG00000111669	ENSG00000142657	ENSG00000154723		
ENSG00000091483	ENSG00000111669	ENSG00000142657	ENSG00000241468		
ENSG00000091483	ENSG00000111669	ENSG00000142657	ENSG00000167283		
ENSG00000111669	ENSG00000142657	ENSG00000154723	ENSG00000204370		
ENSG00000091483	ENSG00000111669	ENSG00000135390	ENSG00000153574		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000159199		
ENSG00000091483	ENSG00000111669	ENSG00000142657	ENSG00000159199		
ENSG00000111669	ENSG00000142657	ENSG00000143252	ENSG00000173915		
ENSG00000111669	ENSG00000153574	ENSG00000167283	ENSG00000204370		
ENSG00000111669	ENSG00000143252	ENSG00000173915	ENSG00000177156		
ENSG00000091483	ENSG00000099624	ENSG00000111669	ENSG00000177156		
ENSG00000111669	ENSG00000143252	ENSG00000154518	ENSG00000177156		
ENSG00000111669	ENSG00000143252	ENSG00000169020	ENSG00000177156		
