V1	V2	V3	V4	V5	V6
ENSG00000163655					
ENSG00000159131					
ENSG00000178921					
ENSG00000128050					
ENSG00000128059					
ENSG00000138363					
ENSG00000091483					
ENSG00000114956	ENSG00000143774				
ENSG00000100354	ENSG00000239900				
ENSG00000048392	ENSG00000114956				
ENSG00000135821	ENSG00000146166				
ENSG00000125454	ENSG00000143774				
ENSG00000114956	ENSG00000167325				
ENSG00000023697	ENSG00000167325				
ENSG00000114956	ENSG00000171848				
ENSG00000023697	ENSG00000048392				
ENSG00000023697	ENSG00000171848				
ENSG00000025708	ENSG00000143774	ENSG00000198805			
ENSG00000165704	ENSG00000171848	ENSG00000198805			
ENSG00000025708	ENSG00000171848	ENSG00000198805			
ENSG00000169299	ENSG00000171848	ENSG00000180953			
ENSG00000119537	ENSG00000171848	ENSG00000241878			
ENSG00000166224	ENSG00000171848	ENSG00000241878			
ENSG00000048392	ENSG00000165704	ENSG00000198805			
ENSG00000143774	ENSG00000165704	ENSG00000198805			
ENSG00000100596	ENSG00000171848	ENSG00000241878			
ENSG00000048392	ENSG00000119537	ENSG00000241878			
ENSG00000100348	ENSG00000114956	ENSG00000136810			
ENSG00000023697	ENSG00000100348	ENSG00000136810			
ENSG00000048392	ENSG00000143774	ENSG00000168393			
ENSG00000143774	ENSG00000168393	ENSG00000171848			
ENSG00000025708	ENSG00000048392	ENSG00000198805			
ENSG00000143774	ENSG00000167325	ENSG00000168393			
ENSG00000106348	ENSG00000165704	ENSG00000178035			
ENSG00000112759	ENSG00000143774	ENSG00000174669			
ENSG00000123505	ENSG00000135069	ENSG00000178445			
ENSG00000123505	ENSG00000135069	ENSG00000145020			
ENSG00000135069	ENSG00000171848	ENSG00000176974			
ENSG00000167325	ENSG00000169299	ENSG00000180953			
ENSG00000119711	ENSG00000131471	ENSG00000145020			
ENSG00000131471	ENSG00000140905	ENSG00000183044			
ENSG00000025708	ENSG00000167325	ENSG00000198805			
ENSG00000106348	ENSG00000158125	ENSG00000178035			
ENSG00000113492	ENSG00000135069	ENSG00000172482			
ENSG00000171848	ENSG00000172296	ENSG00000241878			
ENSG00000167325	ENSG00000172296	ENSG00000241878			
ENSG00000037757	ENSG00000135069	ENSG00000140905			
ENSG00000099810	ENSG00000135069	ENSG00000140905			
ENSG00000123505	ENSG00000135069	ENSG00000140905			
ENSG00000119711	ENSG00000135069	ENSG00000140905			
ENSG00000135069	ENSG00000138030	ENSG00000241935			
ENSG00000048392	ENSG00000169299	ENSG00000180953			
ENSG00000090054	ENSG00000171848	ENSG00000241878			
ENSG00000023697	ENSG00000138030	ENSG00000153574			
ENSG00000091140	ENSG00000100116	ENSG00000119711			
ENSG00000091140	ENSG00000100116	ENSG00000149089			
ENSG00000165704	ENSG00000167325	ENSG00000198805			
ENSG00000100116	ENSG00000123505	ENSG00000145020			
