V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26
ENSG00000004455	ENSG00000078124	ENSG00000085231	ENSG00000104763	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000167325	ENSG00000167769	ENSG00000177076	ENSG00000188611	ENSG00000273841										
ENSG00000004455	ENSG00000062485	ENSG00000063176	ENSG00000085231	ENSG00000100075	ENSG00000105516	ENSG00000106992	ENSG00000125454	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000176170	ENSG00000273841										
ENSG00000004455	ENSG00000007001	ENSG00000063176	ENSG00000085231	ENSG00000105516	ENSG00000106992	ENSG00000140057	ENSG00000143774	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000176170	ENSG00000183696	ENSG00000273841										
ENSG00000004455	ENSG00000047230	ENSG00000085231	ENSG00000106992	ENSG00000125458	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000165704	ENSG00000166224	ENSG00000171793	ENSG00000205309	ENSG00000273841										
ENSG00000004455	ENSG00000063176	ENSG00000085231	ENSG00000094841	ENSG00000105516	ENSG00000106992	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000165704	ENSG00000176170	ENSG00000198805	ENSG00000273841										
ENSG00000004455	ENSG00000047230	ENSG00000085231	ENSG00000106992	ENSG00000125458	ENSG00000140057	ENSG00000143774	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000171793	ENSG00000205309	ENSG00000273841										
ENSG00000004455	ENSG00000085231	ENSG00000094841	ENSG00000106992	ENSG00000130717	ENSG00000140057	ENSG00000143179	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000165704	ENSG00000166224	ENSG00000198276	ENSG00000273841										
ENSG00000004455	ENSG00000063176	ENSG00000085231	ENSG00000094841	ENSG00000105516	ENSG00000106992	ENSG00000140057	ENSG00000143774	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000176170	ENSG00000198805	ENSG00000273841										
ENSG00000004455	ENSG00000085231	ENSG00000094841	ENSG00000106992	ENSG00000130717	ENSG00000140057	ENSG00000143179	ENSG00000143774	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000198276	ENSG00000273841										
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000111732	ENSG00000125458	ENSG00000140057	ENSG00000143774	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000158825	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000205309	ENSG00000273841										
ENSG00000004455	ENSG00000085231	ENSG00000106992	ENSG00000111732	ENSG00000125458	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000158825	ENSG00000162433	ENSG00000165695	ENSG00000165704	ENSG00000166224	ENSG00000205309	ENSG00000273841										
ENSG00000004455	ENSG00000072778	ENSG00000085231	ENSG00000087008	ENSG00000106992	ENSG00000117054	ENSG00000140057	ENSG00000147853	ENSG00000151498	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000166224	ENSG00000177646	ENSG00000273841										
ENSG00000004455	ENSG00000085231	ENSG00000097021	ENSG00000106992	ENSG00000119673	ENSG00000136881	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000167325	ENSG00000177465	ENSG00000184227	ENSG00000205669	ENSG00000273841									
ENSG00000004455	ENSG00000048392	ENSG00000085231	ENSG00000097021	ENSG00000106992	ENSG00000119673	ENSG00000136881	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000177465	ENSG00000184227	ENSG00000205669	ENSG00000273841									
ENSG00000004455	ENSG00000085231	ENSG00000097021	ENSG00000106992	ENSG00000119673	ENSG00000136881	ENSG00000140057	ENSG00000147853	ENSG00000154027	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000171848	ENSG00000177465	ENSG00000184227	ENSG00000205669	ENSG00000273841									
ENSG00000004455	ENSG00000048392	ENSG00000085231	ENSG00000090661	ENSG00000106992	ENSG00000139624	ENSG00000140057	ENSG00000143418	ENSG00000147853	ENSG00000154027	ENSG00000154227	ENSG00000155085	ENSG00000162433	ENSG00000165695	ENSG00000172292	ENSG00000223802	ENSG00000273841									
ENSG00000086159	ENSG00000100170	ENSG00000103375	ENSG00000113163	ENSG00000132874	ENSG00000139433	ENSG00000141469	ENSG00000143595	ENSG00000161798	ENSG00000165269	ENSG00000165272	ENSG00000167580	ENSG00000171885	ENSG00000173638	ENSG00000225697	ENSG00000240583	ENSG00000259916									
