V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
ENSG00000099377	ENSG00000100714	ENSG00000117594	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000160211	ENSG00000171848	ENSG00000178700	ENSG00000228716							
ENSG00000100714	ENSG00000117594	ENSG00000135929	ENSG00000146701	ENSG00000160211	ENSG00000171848	ENSG00000178700	ENSG00000203857	ENSG00000203859	ENSG00000228716							
ENSG00000100714	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000160211	ENSG00000167910	ENSG00000171848	ENSG00000176387	ENSG00000178700	ENSG00000228716							
ENSG00000100714	ENSG00000117594	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000160211	ENSG00000167325	ENSG00000167910	ENSG00000178700	ENSG00000228716							
ENSG00000100714	ENSG00000135929	ENSG00000146701	ENSG00000160211	ENSG00000171848	ENSG00000176387	ENSG00000178700	ENSG00000203857	ENSG00000203859	ENSG00000228716							
ENSG00000048392	ENSG00000100714	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000160211	ENSG00000167910	ENSG00000176387	ENSG00000178700	ENSG00000228716							
ENSG00000100714	ENSG00000117594	ENSG00000135929	ENSG00000146701	ENSG00000160211	ENSG00000167325	ENSG00000178700	ENSG00000203857	ENSG00000203859	ENSG00000228716							
ENSG00000048392	ENSG00000099377	ENSG00000100714	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000160211	ENSG00000176387	ENSG00000178700	ENSG00000228716							
ENSG00000048392	ENSG00000100714	ENSG00000117594	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000160211	ENSG00000167910	ENSG00000178700	ENSG00000228716							
ENSG00000099377	ENSG00000100714	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000160211	ENSG00000171848	ENSG00000176387	ENSG00000178700	ENSG00000228716							
ENSG00000099377	ENSG00000100714	ENSG00000135929	ENSG00000138135	ENSG00000146701	ENSG00000160211	ENSG00000167325	ENSG00000176387	ENSG00000178700	ENSG00000228716							
